站姿側抬腿,雙手叉腰站立，腿伸直向側邊抬起。左右各重複20下,低,https://www.youtube.com/watch?v=h6VsxrFHZqw,1:18-2:02
跪姿側&後抬腿,四肢著地用膝蓋和手掌支撐，抬起一腳，膝蓋彎曲90度向側邊抬起平行地面，放下後立刻向後向上抬起。左右各重複20下,高,https://www.youtube.com/watch?v=Rr8CEyQ3-5k&t=1084s,17:59-18:40
碰膝弓箭步,一腳往後踏呈弓箭步，收腳時向前抬起接近胸前。左右各重複20下，可搭配彈力帶,低,https://www.youtube.com/watch?v=5e3G3vQP-sc&t=319s,5:13-6:07
臥姿內抬腿,側臥姿，以手肘支撐上半身，上方腳屈起，另一腳伸直向上方抬升。左右各重複30下,中,https://youtu.be/bFloAMuNrV4?si=PrXEf5ygAmPnQX1B,10:27-11:
側弓步,雙腳固定位置，輪流進行左右側低弓步。共重複20組,中,https://youtu.be/bFloAMuNrV4?si=PrXEf5ygAmPnQX1B,12:49-13:30
反弓箭步,一腳向後跨步，作弓箭步使膝蓋接近地面，收腳時膝蓋向前抬起。左右各重複20下,中,https://www.youtube.com/watch?v=h6VsxrFHZqw&t=592s,6:00-7:13
橋式,仰臥，屈起雙腳使小腿接近垂直地面，臀部及核心施力將臀部上抬至肩、臀、膝呈一直線。重複20次,低,https://youtu.be/MiVHq0EM234,－
開合蹲跳,雙腳與肩同寬下蹲，向上跳起同時將雙腳微向外開，落地時再做一次深蹲。重複15組,高,https://www.youtube.com/watch?v=XoYKGrGUpy4,2:36-3:13
左右深蹲,深蹲後站立，向側邊側併跨步，再度深蹲。共重複20下,中,https://www.youtube.com/watch?v=h6VsxrFHZqw&t=1044s,8:36-9:51
俯臥抬腿,身體呈現趴姿，手肘撐地使上半身稍微抬起，雙腳抬起離地，橫向開合(亦可選擇上下擺動)。重複動作40下,高,https://www.youtube.com/watch?v=_QLMcBDhDKI,23:55-25:10
